_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
271,Roads and bridges,Transportation,Durham,Highway 401 resurfacing,Complete,Aug-20,Resurface Hwy 401 westbound lanes from Hwy 35/115 to 2.1 km west of Courtice Rd. ,,Durham,Central,,,Hwy 401,26310000,,Yes,,,,43.90299811,-78.62544102
272,Roads and bridges,Transportation,Durham,"Hwy 401 westbound, west of Stevenson Rd. to west of Courtice Rd., Oshawa Creek, Oshawa",Under construction,2021,"Bridge rehabilitation, Bridge replacement, Resurfacing",,Durham,Central,,,,0,,Yes,,,,43.87886796,-78.76357536
273,Roads and bridges,Transportation,Dysart et al,Detailed Design for Drag River Bridge Rehabilitation,Complete,Mar-21,,,Haliburton,East,,,118,22530,,Yes,,,,45.047687,-78.509426
274,Roads and bridges,Transportation,Elliot Lake,Highway 108 Rehabilitation south of Elliot Lake,Complete,Jul-16,Highway rehabilitation south of Elliot Lake,Rehabilitating Highway 108 south of Elliot Lake,Algoma,Northeast,,,Hwy 108,8617109,,Yes,,,,,
275,Roads and bridges,Transportation,Espanola,Centre Street Reconstruction ,Complete,Mar-20,Reconstruct 570 m of Centre Street from Station Road to Second Avenue including intersection improvements,,Sudbury,Northeast,,,Highway 6,2894069,,Yes,,,,46.260752,-81.765455
276,Roads and bridges,Transportation,Espanola,Highway 6 reconstruction,Planning,2022,Reconstruct Centre Street (Highway 6) from the McDonald's restaurant to McCulloch Drive,,Sudbury,Northeast,,,Highway 6,3000000,,Yes,,,,46.25,-81.76
277,Roads and bridges,Transportation,Essex County,"Hwy 3 from Ellis Side Rd. to Essex Rd. 23, County of Essex, Contract 1",Under construction,Jun-23,Hwy 3 widening widening from Ellis Side Rd. to Essex Rd. 23 ,Two to four-lane widening,Essex,Southwest,,,Highway 3,0,,Yes,,,,42.14489445,-82.79500019
278,Roads and bridges,Transportation,Fort Frances,Highway 11 Repaving,Complete,Dec-16,Highway repaving,Repaving Highway 11,Rainy River,Northwest,,,Hwy 11,7326106,,Yes,,,,48.609819,-93.394569
279,Roads and bridges,Transportation,Fort Frances,Noden Causeway Bridge Rehabilitation,Complete,Oct-17,Bridge rehabilitation,Rehabilitating Noden Causeway bridge,Rainy River,Northwest,,,Hwy 11,7237000,,Yes,,,,48.617971,-93.395194
280,Roads and bridges,Transportation,Fort Frances,Replacing the Hastie and Munro River Bridges on Highway 613,Complete,Dec-15,Replacing the Hastie and Munro River Bridges on Highway 613,Replacing bridges at Hastie and Munro Rivers on Highway 613,Rainy River,Northwest,,,Hwy 613,4751234,,Yes,,,,48.617971,-93.395194
281,Roads and bridges,Transportation,Fort Frances,Mill Road (Highway 11) Overpass Bridge Rehabilitation,Complete,To Be Determined,Expansion joint rehabilitation,,Rainy River,Northwest,,,Highway 11,0,,,,,,48.61766,-93.36489
282,Roads and bridges,Transportation,Fort Frances,Mill Road Overpass Rehabilitation,Complete,Mar-20,Reconstruct both approaches and road sections of the Mill Road overpass,,Rainy River,Northwest,,,Highway 11,2053207,,Yes,,,,48.618018,-93.364882
283,Roads and bridges,Transportation,Fort Frances,Detailed Design for Reconstruction of Kings Highway (Pit Road Number 1 to Oakwood Road),Planning,2021,,,Rainy River,Northwest,,,Highway 11/71,116200,,Yes,,,,48.607255,-93.444531
284,Roads and bridges,Transportation,Fort Frances,Scott Street reconstruction,Planning,2022,Reconstruct Scott Street from Colonization Road East to Reid Avenue,,Rainy River,Northwest,,,Highway 11 ,3000000,,Yes,,,,48.610026,-93.392114
285,Roads and bridges,Transportation,Fort Frances,Reconstruction of Kings Highway,Under construction,2023,,,Rainy River,Northwest,,,11/1/1971,1936849,,Yes,,,,48.607259,-93.441791
286,Roads and bridges,Transportation,French River,Expanding Highway 69 to 4 lanes,Under construction,2022,Expansion to 4 lanes north of Highway 522  to the French River (16.5 kilometres),,Sudbury,Northeast,,,Hwy 69 - Hwy 400,173400000,,Yes,,,,,
287,Roads and bridges,Transportation,French River,Expanding Highway 69 to 4 Lanes,Complete,Dec-16,Expansion to 4 lanes north of Highway 607 to north of the French River,Expanding Highway 69 to 4 lanes north of Highway 607 to north of the French River,Sudbury,Northeast,,,Hwy 69 - Hwy 400,61338000,,Yes,,,,,
288,Roads and bridges,Transportation,French River,Highway 69 French River Bridge Rehabilitation,Complete,Sep-16,Bridge rehabilitation,Rehabilitating Highway 69 French River bridge,Sudbury,Northeast,,,Hwy 69 - Hwy 400,5228000,,Yes,,,,46.141206,-80.451952
289,Roads and bridges,Transportation,Frontenac Islands,"Wolfe Island Ferry Service, shoreline infrastructure upgrades, Marysville, Township of Frontenac Islands",Under construction,2022,Shoreline infrastructure upgrades to Marysville ferry dock on Wolfe Island,Shoreline infrastructure upgrades ,Frontenac,East,,,N/A,0,,Yes,,,,44.1947108,-76.4409478
290,Roads and bridges,Transportation,Gillies,Highway 595 Culvert Replacements at Cedar and Sitch Creeks,Complete,Sep-17,Highway culvert replacements at Cedar and Sitch Creeks,Replacing culverts on Highway 595 at Cedar and Sitch Creeks,Thunder Bay,Northwest,,,Hwy 595,4388000,,Yes,,,,,
291,Roads and bridges,Transportation,Greater Sudbury,Expanding Highway 69 to 4 Lanes,Complete,Dec-15,"Expansion to 4 lanes from north of Highway 64, northerly","Expanding Highway 69 to 4 lanes from north of Highway 64, northerly ",Sudbury,Northeast,,,Hwy 69 - Hwy 400,54795000,,Yes,,,,,
292,Roads and bridges,Transportation,Greater Sudbury,Highway 144 Rehabilitation between Cartier and Chelmsford,Complete,Dec-16,Highway 144 rehabilitation between Cartier and Chelmsford,Rehabilitating Highway 144 between Cartier and Chelmsford,Sudbury,Northeast,,,Hwy 144,8927109,,Yes,,,,,
293,Roads and bridges,Transportation,Greater Sudbury,Resurfacing Highway 144 between Cartier and Onaping,Complete,Dec-15,Highway resurfacing between Cartier and Onaping,Resurfacing Highway 144 between Cartier and Onaping,Sudbury,Northeast,,,Hwy 144,10098740,,Yes,,,,,
294,Roads and bridges,Transportation,Greater Sudbury,"West of Hwy 17/Municipal Rd. 55 interchange at Sudbury, westerly",Complete,Aug-19,Resurface 22.2 km of road and structure rehabilitations,,Sudbury,Northeast,,,Hwy 17,33499888,,Yes,,,,46.42362939,-81.10655046
295,Roads and bridges,Transportation,Greater Sudbury,"Nat River Bridge, east of Foleyet",Under construction,Oct-23,Bridge replacement,,Sudbury,Northeast,,,,0,,Yes,,,,48.21782,-82.11507
296,Roads and bridges,Transportation,Greater Sudbury,"North of Hwy 522 northerly, French River",Under construction,2022,Two to four-lane widening,,Sudbury,Northeast,,,,0,,Yes,,,,45.93795118,-80.58291394
297,Roads and bridges,Transportation,Greater Sudbury,"West of Hwy 144 easterly, east of Foleyet",Under construction,2022,"Bridge replacement, Culvert replacement, Resurfacing",,Sudbury,Northeast,,,,0,,Yes,,,,48.21839096,-82.10280248
298,Roads and bridges,Transportation,Grey Highlands,Toronto and Sydenham Streets,Complete,Mar-18,Design and engineering study related to the Toronto Street and Sydenham Street in Flesherton and Markdale,,Grey,Southwest,,,Highway 10,0,,Yes,,,,44.259632,-80.546905
299,Roads and bridges,Transportation,Guelph,York Road Reconstruction,Complete,Jun-17,Reconstruct York Road (Highway 7),,Wellington,Southwest,,,Highway 7,0,,Yes,,,https://www.guelph.ca/living/construction-projects/york-road-water-and-sewer-pipe-replacement/,,
300,Roads and bridges,Transportation,Haldimand County,Reconstruction of  Talbot Street,Complete,To Be Determined,Reconstruct 1.7 kilometre of Talbot Street,,Haldimand-Norfolk,Southwest,,,Highway 3,0,,Yes,,,,,
301,Roads and bridges,Transportation,Haldimand County,Main Street Resurfacing ,Complete,Mar-18,Road resurfacing and watermain improvements within Hagersville,,Haldimand-Norfolk,Southwest,,,Highway 6,0,,Yes,,,,42.962,-80.051809
302,Roads and bridges,Transportation,Haldimand County,Resurfacing of Broad Street East,Complete,Mar-21,,,Haldimand-Norfolk,Southwest,,,3,892032,,Yes,,,,42.90601,-79.604269
303,Roads and bridges,Transportation,Haldimand County,Resurfacing of Broad Street (Highway 3) in Dunnville,Complete,Mar-22,,,Haldimand-Norfolk,Southwest,,,3,820665,,Yes,,,,42.903581,-79.616999
304,Roads and bridges,Transportation,Haliburton County,"Coboconk to Haliburton Boundary, Kawartha Lakes",Under construction,2022,Resurfacing,,Haliburton,East,,,,0,,Yes,,,,44.657329,-78.79532929
305,Roads and bridges,Transportation,Halton,Bridge Rehabilitations on Highway 401,Complete,Dec-18,Rehabilitation of 8 bridges in Milton,,Halton,Central,,,Highway 401,48892000,,Yes,,,,43.494963,-79.978241
306,Roads and bridges,Transportation,Halton,Bridge rehabilitation,Under construction,2022,Rehabilitate the bridge at North Shore Blvd.,,Halton,Central,,,QEW,25360000,,Yes,,,,43.315108,-79.807329
307,Roads and bridges,Transportation,Halton,"QEW/403/Ford Dr. interchange, Upper Middle Rd., Phase 3, Oakville",Complete,Dec-21,"Resurfacing of QEW from Trafalgar to Winston Chruchill Blvd and Hwy 403 at Upper Middle Rd., Bridge rehabilitation of Joshua Creek and Upper Middle Rd","Bridge rehabilitation, Resurfacing",Halton,Central,,,QEW,0,,Yes,,,,43.46131139,-79.68367984
308,Roads and bridges,Transportation,Halton,"Regional Rd. 25 to Credit River Bridge, Milton, Mississauga",Under construction,2023,"HOV expansion, Bridge replacement, Bridge widening, Six to ten-lane widening (HOV), Six to twelve-lane widening",,Halton,Central,,,,0,,Yes,,,,43.61246421,-79.72896009
309,Roads and bridges,Transportation,Halton Hills,Resurfacing Main Street ,Complete,To Be Determined,Resurfacing of 500 metres of Main Street from Knox Street northerly on the town’s Highway 7,,Halton,Central,,,Highway 7,0,,Yes,,,,,
310,Roads and bridges,Transportation,Halton Hills,Main Street North Bridge Rehabilitation ,Complete,Mar-18,Detailed design for the rehabilitation of Main Street North Bridge in Georgetown,,Halton,Central,,,Highway 7,0,,Yes,,,,43.65317,-79.93095
311,Roads and bridges,Transportation,Halton Hills,Bridge rehabilitation,Planning,2021,Rehabilitate the Main Street North bridge over CNR Site #13 ,,Halton,Central,,,Highway 7,2962787,,Yes,,,https://www.news.ontario.ca/mto/en/2019/07/connecting-links-funding-by-municipality-3.html,43.65317,-79.93095
312,Roads and bridges,Transportation,Halton Hills,Reconstruction of Young Street/Queen Street (Acton) ,Complete,Mar-22,,,Halton,Central,,,7,1485000,,Yes,,,,43.634414,-80.031537
313,Roads and bridges,Transportation,Hamilton,Resurfacing Highway 6,Complete,Sep-15,Resurfacing of 11 kms of Highway 6 from Highway 5 north to Flamborough Concession Rd. 6 West,,Hamilton,Central,,,Highway 6,7344000,,Yes,,,,,
314,Roads and bridges,Transportation,Hamilton,Resurfacing Highway 6 ,Complete,Sep-16,Resurfacing 4 kms of Highway 6 from Mount Hope to Greens Road in Caledonia,,Hamilton,Central,,,Highway 6,4386000,,Yes,,,,,
315,Roads and bridges,Transportation,Hamilton,Skyway Bridge Rehabilitation,Complete,Jul-21,Rehabilitation of the Toronto-bound lanes of the Burlington Bay Skyway Bridge for expansion joints and truss strengthening ,,Hamilton,Central,,,QEW,17176000,,Yes,,,,43.2982792,-79.7969581
316,Roads and bridges,Transportation,Hastings County,Bay of Quinte Skyway Bridge Rehabilitation,Under construction,Jun-24,Replace the superstructure of the Bay of Quinte Skyway Bridge,,Hastings,East,,,Highway 49,63000000,,Yes,,,,44.17382081,-77.08654282
317,Roads and bridges,Transportation,Havelock-Belmont-Methuen,Ottawa Street Rehabilitation,Complete,To Be Determined,Resurfacing 1.9 kms of Ottawa Street,,Peterborough,East,,,Highway 7,0,,Yes,,,,,
318,Roads and bridges,Transportation,Hawkesbury,Reconstruction of McGill Street and Retaining Wall Replacement,Complete,Mar-22,,,Prescott and Russell,East,,,34,824400,,Yes,,,,45.60901,-74.61348
319,Roads and bridges,Transportation,Hearst,Highway 11 Rehabilitation west of the Highway 631 Junction,Complete,Dec-15,Highway rehabilitation west of the Highway 631 Junction,Rehabilitating Highway 11 west of the Highway 631 Junction,Cochrane,Northeast,,,Hwy 11,5161201,,Yes,,,,,
320,Roads and bridges,Transportation,Hearst,Highway 583 Rehabiltation at Obijou Creek,Complete,Dec-16,Highway rehabilitation at Obijou Creek,Rehabilitating Highway 583 at Obijou Creek,Cochrane,Northeast,,,Hwy 583,2127884,,Yes,,,,,
321,Roads and bridges,Transportation,Hearst,Front Street Rehabilitation,Complete,Mar-18,Rehabilitation of Front Street,,Cochrane,Northeast,,,Highway 11,0,,Yes,,,,49.69,-83.6698
322,Roads and bridges,Transportation,Huron East,Road resurfacing,Planning,2022,Resurface Goderich Street,,Huron,Southwest,,,Highway 8,1662494,,Yes,,,,43.553404,-81.393427
323,Roads and bridges,Transportation,Ignace,Highway 17 Resurfacing,Complete,Dec-16,Highway resurfacing,Resurfacing Highway 17,Kenora,Northwest,,,Hwy 17,7897067,,Yes,,,,49.415973,-91.65908
324,Roads and bridges,Transportation,Innisfil,Highway 400 Service Centre Redevelopment,Complete,Jun-15,"The newly modernized service centre will provide travelers with safe and accessible facilities at which to rest, eat and refuel, 24 hours a day, seven days a week, year round. ",,Simcoe,Central,6400 Highway 400 S,L9S 3R7,Highway 400,0,,,,,http://www.infrastructureontario.ca/ontario-highway-service-centres/,44.24593,-79.67136
325,Roads and bridges,Transportation,Innisfil,Cookstown Traffic Signal Improvements,Complete,Mar-18,"Traffic signal improvements at the intersection of Church Street, Queen Street and King Street in Cookstown",,Simcoe,Central,,,Highway 89,0,,Yes,,,,44.189878,-79.701638
326,Roads and bridges,Transportation,Innisfil,Queen Street Pedestrian Crossing Improvements,Complete,Mar-22,,,Simcoe,Central,,,89,59211,,Yes,,,,44.188774,-79.706917
327,Roads and bridges,Transportation,James,Bridge and Culvert Replacements on Highway 560 west of Elk Lake,Complete,Dec-16,Replacing bridge and culverts west of Elk Lake,Replacing bridge and culverts on Highway 560 west of Elk Lake,Timiskaming,Northeast,,,Hwy 560,5711311,,Yes,,,,,
328,Roads and bridges,Transportation,Kapuskasing,Resurfacing of Government Road (Lasalle Ave to Gurney Rd),Complete,Mar-22,,,Cochrane,Northeast,,,11,2833638,,Yes,,,,49.408849,-82.402151
329,Roads and bridges,Transportation,Kapuskasing,Resurfacing of Government Road (Gurney Road Easterly),Under construction,2023,,,Cochrane,Northeast,,,11,3000000,,Yes,,,,49.405102,-82.39124
330,Roads and bridges,Transportation,Kawartha Lakes,Resurfacing of Ottawa Street (Highway 7),Complete,Mar-20,Resurface 1.9 kms of Ottawa Street from Mary Street to County Road 46,,Kawartha Lakes,East,,,Highway 7,174106,,Yes,,,,44.5418,-78.7734
331,Roads and bridges,Transportation,Kawartha Lakes,Detailed Design for Resurfacing of King Street and Reconstruction of King Street in Downtown Omemee,Complete,Mar-21,,,Kawartha Lakes,East,,,7,63563,,Yes,,,,44.3,-78.56
332,Roads and bridges,Transportation,Kenora District,"Crystal River Bridge, 47 km north of Hwy 17, north of Ignace",Under construction,2022,Bridge replacement,,Kenora,Northwest,,,,0,,Yes,,,,49.69498896,-91.23524256
333,Roads and bridges,Transportation,Kenora District,"2 km south of Hwy 17 southerly, west of Kenora",Planning,Sep-23,"Reconstruction, Realignment",,Kenora,Northwest,,,,0,,Yes,,,,49.70215205,-95.06863151
334,Roads and bridges,Transportation,Kenora District,"English River westerly, east of Ignace",Under construction,2022,"Resurfacing, Paved shoulders",,Kenora,Northwest,,,,0,,Yes,,,,49.23359216,-90.97069735
335,Roads and bridges,Transportation,Kiashke Zaaging Anishinaabek First Nation,Highway 527 Culvert Replacement,Complete,Dec-15,Highway culvert replacement,Replacing culvert on Highway 527,Thunder Bay,Northwest,,,Hwy 527,2468000,,Yes,,,,,
336,Roads and bridges,Transportation,King,16th Sideroad Bridge Replacement,Under construction,2022,"Interchange reconstruction, 1 bridge replacement, 1 new carpool lot on 16th Sideroad",,York,Central,,,Highway 400,66875000,,Yes,,,,44.001577,-79.585963
337,Roads and bridges,Transportation,Kingston,Highway 401/Highway 15 Interchange Improvement ,Complete,Jun-20,"Replacement and widening of the Cataraqui River bridge, and Highway 15 interchange improvements",,Frontenac,East,,,Highway 401,26882613,,Yes,,,,44.284731,-76.444147
338,Roads and bridges,Transportation,Kingston,"Wolfe Island Ferry Service, lowering of river bed channel, Kingston",Under construction,2022,Lowering of the existing river bed at Kingston Shoal and Barrett's Bay,Lowering of river bed channel,Frontenac,East,,,N/A,0,,Yes,,,,44.23265385,-76.47750002
339,Roads and bridges,Transportation,Kingston,"Wolfe Island Ferry Service, shoreline infrastructure upgrades, Kingston",Under construction,Dec-23,Shoreline infrastructure upgrades to the existing Kingston Ferry dock,Shoreline infrastructure upgrades ,Frontenac,East,,,N/A,0,,Yes,,,,44.23265385,-76.47750002
340,Roads and bridges,Transportation,Kirkland Lake,Reconstruction of Government Street East,Complete,Mar-19,Reconstruction of Government Street East,,Timiskaming,Northeast,,,Highway 66,0,,Yes,,,,48.154719,-80.025968
341,Roads and bridges,Transportation,Kitchener,Highway 8 Reconstruction,Complete,Jul-15,"Reconstruct 5.5 kms of Highway 8 from Fischer Hallman Road to Courtland Avenue, 12 bridge rehabilitations, 3 interchange improvements, 5.1 km of median barrier, new noise barriers",,Waterloo,Southwest,,,Highway 8,86295000,,Yes,,,,,
342,Roads and bridges,Transportation,Kitchener,Victoria Street,Complete,Jul-19,Victoria Street bridge replacement,,Waterloo,Southwest,,,Highway 85,18716000,,Yes,,,,43.462008,-80.471454
343,Roads and bridges,Transportation,Lambton County,"Wallaceburg to Stanley Line, Lambton",Complete,Nov-21,Resurfacing,,Lambton,Southwest,,,,0,,Yes,,,,42.59372542,-82.43338871
344,Roads and bridges,Transportation,Lambton Shores,King Street East Reconstruction,Complete,Mar-19,Reconstruction of King Street East in Forest,,Lambton,Southwest,,,Highway 21 ,0,,Yes,,,,43.312016,-81.756994
345,Roads and bridges,Transportation,Lambton Shores,Main Street South Reconstruction,Planning,2021,Reconstruction of Main Street South (Highway 21) in Forest from the South Connecting Link limit to King Street East. ,,Lambton,Southwest,,,Highway 21,1722069,,Yes,,,,43.105786,-81.985841
346,Roads and bridges,Transportation,Lambton Shores,Road reconstruction,Planning,2022,Reconstruct the Ontario Street corridor,,Lambton,Southwest,,,Highway 21,1075651,,Yes,,,,43.31195,-81.757058
347,Roads and bridges,Transportation,Lambton Shores,Ontario Street Bridge Replacement and Widening in Grand Bend,Under construction,Mar-24,,,Lambton,Southwest,,,21,4853952,,Yes,,,,43.312016,-81.756994
348,Roads and bridges,Transportation,Leeds and Grenville United Counties,"Hwy 401, Commercial vehicle inspection facility, and truck rest area, Gananoque",Under construction,2022,Rehabiltitation of EB Hwy 401 Commercial vehicle inpection facility and reconstruction of truck rest area,"Commercial vehicle inspection facility, Truck rest area",Leeds and Grenville,East,,,Highway 402,0,,Yes,,,,44.36079917,-76.0797679
349,Roads and bridges,Transportation,Lennox and Addington County,"Amherst Island Ferry Service, Millhaven, Hwy 33 and Stella, Amherst Island",Under construction,2022,Reconstruction of the Amherst Island ferry docks at Millhaven and Stella,dock replacements,Lennox and Addington,East,,,N/A,0,,Yes,,,,44.19280782,-76.74079552
350,Roads and bridges,Transportation,London,Highway 401 and Wonderland Road Interchange,Complete,Jul-14,New interchange at Highway 401 and Wonderland Road.,,Middlesex,Southwest,,,Highway 401,17750888,,Yes,,,,42.874784,-81.258265
351,Roads and bridges,Transportation,London,Veteran’s Memorial Parkway,Complete,Mar-19,"New interchange at Veteran’s Memorial Parkway. Includes replacement of existing structures, illumination, signage, etc.",,Middlesex,Southwest,,,Highway 401,22750000,,Yes,,,,42.943147,-81.125539
352,Roads and bridges,Transportation,Loyalist,Davy Street Reconstruction,Complete,Mar-18,Reconstruction of Davy Street,,Lennox and Addington,East,,,Highway 33,0,,Yes,,,,44.182372,-76.776878
353,Roads and bridges,Transportation,Loyalist,Detailed Design for the Bath Main Street Resurfacing and Box Culvert Replacement,Complete,Mar-20,,,Lennox and Addington,East,,,Highway 33,72000,,Yes,,,,44.181116,-76.779254
354,Roads and bridges,Transportation,Loyalist,Reconstruction of Main Street (Bath),Complete,Mar-21,,,Lennox and Addington,East,,,33,892620,,Yes,,,,44.180232,-76.780566
355,Roads and bridges,Transportation,Machin,Highway 105 resurfacing,Complete,May-19,Resurfacing 30.7km of Highway 105,,Kenora,Northwest,,,Hwy 15,15973950,,Yes,,,,49.756697,-93.240023
356,Roads and bridges,Transportation,Madawaska Valley,Drainage Works on Opeongo Line (Highway 60),Complete,To Be Determined,Drainage improvements on 850 metres of Opeongo Line from Bay Street to Arena Road on the township's Highway 60 connecting link.,,Renfrew,East,,,Highway 60,0,,Yes,,,,,
357,Roads and bridges,Transportation,Madoc,St. Lawrence Street Rehabilitation,Complete,Mar-18,Rehabilitation of St. Lawrence Street West from Durham Street to Russell Street and bridge rehabilitation work on the municipality’s Highway 62,,Hastings,East,,,Highway 62,0,,Yes,,,,,
358,Roads and bridges,Transportation,Manitoulin,Highway 540 Rehabilitation West of Kagawong,Complete,Oct-17,Highway rehabilitation west of Kagawong,Rehabilitating Highway 540 west of Kagawong,Manitoulin,Northeast,,,Hwy 540,11107109,,Yes,,,,,
359,Roads and bridges,Transportation,Manitoulin,Road updgrade,Planning,2022,Upgrade the road and drainage on the Little Current connecting link,,Manitoulin,Northeast,,,Highway 6/540,2015764,,Yes,,,,45.977862,-81.920253
360,Roads and bridges,Transportation,Markham,Highway 404 Expansion ,Complete,Jul-21,Expansion to 8 lanes with 10.4 kms of HOV from Highway 407 to Stouffville,,York,Central,,,Highway 404,58788000,,Yes,Yes,,,,
361,Roads and bridges,Transportation,Markham,Highway 404 Bridge Rehabilitation,Complete,Jun-18,"Rehabilitation of 8 bridges on Highway 404, including Major MacKenzie Dr., McNicoll Ave., Steeles Ave., Van Horne Ave., John St., and Woodbine Ave.",,York,Central,,,Highway 404,15980000,,Yes,,,,43.816393,-79.358116
362,Roads and bridges,Transportation,Marmora and Lake,Matthew Street (Highway 7) Rehabilitation,Complete,To Be Determined,Rehabilitation of Matthew Street from the Crowe River Bridge to North Maloney Street on the municipality's Highway 7 connecting link,,Hastings,East,,,Highway 7,0,,Yes,,,,,
363,Roads and bridges,Transportation,Matachewan,Highway 65 Improvements,Complete,Dec-16,Highway improvements,Improving Highway 65,Timiskaming,Northeast,,,Hwy 65,4978500,,Yes,,,,,
364,Roads and bridges,Transportation,Mattawa,Rehabilitation of the Pont Mauril Bridge (Mattawa River),Complete,Mar-22,,,Nipissing,Northeast,,,533,1281260,,Yes,,,,46.318788,-78.70772
365,Roads and bridges,Transportation,McDougall,Highway 69 resurfacing and structural rehabilitation,Complete,Aug-20,"Resurface 14.1 kilometres of Highway 69, north of Highway 141 to south of Parry Sound, including culvert rehabilitation",,Parry Sound,Northeast,,,Hwy 400,19700000,,Yes,,,,45.29979778,-79.87243286
366,Roads and bridges,Transportation,McGarry,Highway 66 improvements,Complete,Nov-17,Highway realignment for 3.4 km,,Timiskaming,Northeast,,,Hwy 66,18978888,,Yes,,,,,
367,Roads and bridges,Transportation,Meaford,Resurfacing Sykes Street North,Complete,To Be Determined,Resurfacing of 1.05 kilometre of Sykes Street North from Cook Street to Ford Avenue,,Grey,Southwest,,,Highway 26,0,,Yes,,,,,
368,Roads and bridges,Transportation,Meaford,Sykes Street South Bridge Rehabilitation,Complete,Mar-20,Engineering design and rehabilitation of structure 38 on Sykes St  South over the Bighead River.,,Grey,Southwest,,,Highway 26,825300,,Yes,,,,44.606206,-80.591395
369,Roads and bridges,Transportation,Meaford,Reconstruction of Sykes Street and Infrastructure Replacement,Complete,Mar-22,,,Grey,Southwest,,,26,1319760,,Yes,,,,44.610145,-80.592971
370,Roads and bridges,Transportation,Minto,Elora Street Reconstruction,Complete,Oct-18,Road reconstruction of 1.2 kilometre of Elora Street on Highway 9 and bridge repairs,,Wellington,Southwest,,,Highway 9,0,,Yes,,,,,
371,Roads and bridges,Transportation,Minto,Elora Street Reconstruction,Complete,Mar-19,Reconstruction of Elora Street in Clifford,,Wellington,Southwest,,,Highway 9,0,,Yes,,,,43.972839,-80.985536
372,Roads and bridges,Transportation,Minto,Road reconstruction,Planning,2021,Reconstruct Arthur Street East,,Wellington,Southwest,,,Highway 89,1008000,,Yes,,,,43.914691,-80.870649
373,Roads and bridges,Transportation,Mississauga,HOV Lanes on Highway 410,Complete,Nov-18,10 kms of HOV lanes from Highway 401 to Queen Street,,Peel,Central,,,Highway 410,156699000,,Yes,,,,,
374,Roads and bridges,Transportation,Mississauga,Highway 401 Widening,Under construction,2023,Expansion and 18 kms of HOV lanes from the Credit River Bridge to RR25,,Peel,Central,,,Highway 401,640000000,,Yes,,,,,
375,Roads and bridges,Transportation,Mississauga,Credit River Bridge,Under construction,Jun-25,Rehabilitation/replacement of the Credit Rivere Bridge,,Peel,Central,,,QEW,313800000,,Yes,,,,43.5567289,-79.6099704
376,Roads and bridges,Transportation,Mississauga,Highway 401 Widening,Complete,Dec-20,Expansion to 12 lanes with HOV on 4 kms from Hurontario Street to the Credit River,,Peel,Central,,,Highway 401,72869000,,Yes,,,,,
377,Roads and bridges,Transportation,Mississauga,Highway 401/403/410 Bridge Rehabilitation,Complete,Jun-21,Rehabilitation of 5 bridges and 1 culvert on Highway 401/403/410 interchange,,Peel,Central,,,Highway 401,25089000,,Yes,,,,43.6541382,-79.6229607
378,Roads and bridges,Transportation,Mono,Highway 10 Resurfacing,Complete,Sep-19,"Resfurace 10.4 kms of Highway 10 from Orangeville to Primrose, rehabilitation of the Nottawasaga River bridge, various culvert rehabilitations",,Dufferin,Central,,,Highway 10,22206044,,Yes,,,,43.996102,-80.116551
379,Roads and bridges,Transportation,Muskoka,Hwy 11/Muskoka Rd. 117 interchange in Bracebridge and Beaver Creek Culvert in Gravenhurst,Under construction,2022,Culvert rehabilitation of Beaver Creek Culvert and Muskoka Rd. 117 ,Culvert rehabilitation,Muskoka,Central,,,Highway 11,0,,Yes,,,,45.08476,-79.29783
380,Roads and bridges,Transportation,Muskoka,"Hwy 11, South Mary Lake Rd., south of Huntsville",Under construction,2022,Intersection improvements at South Mary Lake Rd. ,Intersection improvements,Muskoka,Central,,,Highway 11,0,,Yes,,,,45.19576783,-79.3133582
381,Roads and bridges,Transportation,Muskoka,"Hwy 11, South junction Muskoka Rd. 3 interchange, Muskoka Rd. 2 underpass, Huntsville",Under construction,Jun-23,Bridge rehabilitation on Hwy 11 at Muskoka Rd. 3 and Muskoka Rd. 2,Bridge rehabilitation,Muskoka,Central,,,Highway 11,0,,Yes,,,,45.31261219,-79.24555026
382,Roads and bridges,Transportation,Muskoka,"Hwy 141, 1 km east of Lake Rosseau Rd. 2, Rosseau",Complete,Nov-21,Non structural centerline culvert replacements on Hwy 141 1 km east of Lake Rosseau Rd. 2,Culvert replacement,Muskoka,Central,,,highway 141,0,,Yes,,,,45.2298016,-79.56154486
383,Roads and bridges,Transportation,Newmarket,Highway 400 Widening,Complete,Oct-18,Widening from 6 to 8 lanes from Highway 9 to the South Canal bridge and bridge replacement,,York,Central,,,Highway 400,67643000,,Yes,,,,,
384,Roads and bridges,Transportation,Niagara,Bridge rehabilitation,Complete,Nov-20,"Rehabilitate the Henley, 15 Mile Creek, 16 Mile Creek and Victoria Ave. bridges",,Niagara,Central,,,QEW,15260000,,Yes,,,,43.178445,-79.272554
385,Roads and bridges,Transportation,Niagara,Bridge rehabilitation,Under construction,2022,Rehabilitation of Ussher's Creek and Welland River CPR bridges,,Niagara,Central,,,QEW,50959000,,Yes,,,,43.045734,-79.121731
